Time [yr]	Species	Pebble Abundance [cm-2]
200.0	grainS2	0.0000000000e+00
200.0	grainSO2	0.0000000000e+00
200.0	grainCH3C3N	7.8223012723e-30
200.0	grainHS2	0.0000000000e+00
200.0	grainSiC3H	0.0000000000e+00
200.0	grainH2S2	0.0000000000e+00
200.0	grainC3S	0.0000000000e+00
200.0	grainC6	6.3836839704e-28
200.0	grainC6H	5.0254628463e-26
200.0	grainC5N	1.7504173974e-34
200.0	grainC6H2	4.1263192334e-26
200.0	grainC6H3	0.0000000000e+00
200.0	grainHC5N	1.7406134541e-31
200.0	grainC6H4	0.0000000000e+00
200.0	grainH2C5N	0.0000000000e+00
200.0	grainSiC4	0.0000000000e+00
200.0	grainH3C5N	0.0000000000e+00
200.0	grainC6H6	2.3075263452e-26
200.0	grainC4S	0.0000000000e+00
200.0	grainC7	6.2212862869e-24
200.0	grainC7H	4.0812501773e-26
200.0	grainC7H2	2.3185711652e-28
200.0	grainC7H3	0.0000000000e+00
200.0	grainC7H4	0.0000000000e+00
200.0	grainCH3C6H	4.9215898479e-27
200.0	grainCH3C5N	5.0201105213e-41
200.0	grainC8	1.2052109311e-25
200.0	grainC8H	1.5427111461e-29
200.0	grainC7N	1.5609093861e-41
200.0	grainC8H2	2.2950915670e-31
200.0	grainC8H3	0.0000000000e+00
200.0	grainHC7N	1.3642849597e-41
200.0	grainC8H4	0.0000000000e+00
200.0	grainH2C7N	0.0000000000e+00
200.0	grainH3C7N	0.0000000000e+00
200.0	grainC9	7.1743025936e-25
200.0	grainC9H	5.1507521929e-27
200.0	grainC9H2	1.6518542414e-29
200.0	grainC9H3	0.0000000000e+00
200.0	grainC9H4	0.0000000000e+00
200.0	grainCH3C7N	0.0000000000e+00
200.0	grainC10	4.0738012818e-29
200.0	grainC9N	0.0000000000e+00
200.0	grainHC9N	0.0000000000e+00
200.0	grainH2C9N	0.0000000000e+00
200.0	grainH3C9N	0.0000000000e+00
200.0	grain	1.1134007514e-13
500.0	grainH	7.6905683189e-19
500.0	grainH(-)	4.8104282142e-24
500.0	grainH2	3.9088948956e-11
500.0	grainHe	5.4431131628e-18
500.0	grainC	6.8765437253e-19
500.0	grainCH	2.1616599686e-17
500.0	grainC(-)	1.3098487235e-30
500.0	grainCH2	8.4634658330e-14
500.0	grainCH3	3.3278194595e-12
500.0	grainN	6.5558356839e-33
500.0	grainNH	1.7505171552e-30
500.0	grainCH4	1.1593126798e-09
500.0	grainNH2	3.8115038967e-29
500.0	grainNH3	3.8253433894e-31
500.0	grainO	1.4623386281e-12
500.0	grainOH	5.5673822901e-12
500.0	grainO(-)	8.9094907214e-29
500.0	grainH2O	2.2765213891e-06
500.0	grainOH(-)	1.4727808459e-15
500.0	grainNa	0.0000000000e+00
500.0	grainC2	1.5144707776e-15
500.0	grainMg	0.0000000000e+00
500.0	grainNaH	0.0000000000e+00
500.0	grainC2H	2.6478841284e-14
500.0	grainMgH	0.0000000000e+00
500.0	grainC2H2	3.3849850663e-14
500.0	grainCN	5.5552924302e-29
500.0	grainCN(-)	3.2638068108e-36
500.0	grainMgH2	0.0000000000e+00
500.0	grainC2H3	1.2566086011e-15
500.0	grainHCN	2.7067049188e-28
500.0	grainHNC	9.7259067371e-31
500.0	grainC2H4	2.3422902770e-15
500.0	grainCHNH	0.0000000000e+00
500.0	grainCNH2	0.0000000000e+00
500.0	grainCO	4.8919408768e-08
500.0	grainH2CN	1.6758877573e-34
500.0	grainN2	0.0000000000e+00
500.0	grainSi	0.0000000000e+00
500.0	grainC2H5	2.1204226448e-18
500.0	grainCH2NH	1.7365641119e-33
500.0	grainCH3N	0.0000000000e+00
500.0	grainCHNH2	0.0000000000e+00
500.0	grainHCO	2.9020422829e-12
500.0	grainHOC	0.0000000000e+00
500.0	grainN2H	0.0000000000e+00
500.0	grainSiH	0.0000000000e+00
500.0	grainC2H6	0.0000000000e+00
500.0	grainCH2NH2	0.0000000000e+00
500.0	grainCH3NH	0.0000000000e+00
500.0	grainCHOH	0.0000000000e+00
500.0	grainH2CO	6.4388819306e-13
500.0	grainHOCH	0.0000000000e+00
500.0	grainN2H2	0.0000000000e+00
500.0	grainNO	5.8907904842e-32
500.0	grainSiH2	0.0000000000e+00
500.0	grainCH2OH	0.0000000000e+00
500.0	grainCH3O	0.0000000000e+00
500.0	grainCH5N	0.0000000000e+00
500.0	grainHNO	7.3226552222e-30
500.0	grainHON	0.0000000000e+00
500.0	grainSiH3	0.0000000000e+00
500.0	grainCH3OH	7.6065557042e-20
500.0	grainNH2OH	0.0000000000e+00
500.0	grainO2	9.9806067319e-16
500.0	grainS	1.7101540526e-31
500.0	grainHS	0.0000000000e+00
500.0	grainS(-)	0.0000000000e+00
500.0	grainSiH4	0.0000000000e+00
500.0	grainO2H	2.9450618793e-20
500.0	grainH2O2	2.5583325879e-35
500.0	grainH2S	2.7063525611e-35
500.0	grainCl	0.0000000000e+00
500.0	grainC3	1.5927475809e-19
500.0	grainHCl	0.0000000000e+00
500.0	grainC3H	2.8983536714e-19
500.0	grainC2N	5.1671290742e-30
500.0	grainC3H2	1.1451913366e-18
500.0	grainH2CCC	6.4297845686e-19
500.0	grainC3H3	0.0000000000e+00
500.0	grainHCCN	0.0000000000e+00
500.0	grainC2O	1.9120594003e-16
500.0	grainC3H4	0.0000000000e+00
500.0	grainCH2CN	2.6522464810e-37
500.0	grainCH3CCH	8.4071512356e-17
500.0	grainNaOH	0.0000000000e+00
500.0	grainSiC	0.0000000000e+00
500.0	grainC3H5	0.0000000000e+00
500.0	grainCH3CN	8.1611839971e-33
500.0	grainHC2O	0.0000000000e+00
500.0	grainHCSi	0.0000000000e+00
500.0	grainC3H6	0.0000000000e+00
500.0	grainCH2CO	1.5906833873e-12
500.0	grainNH2CN	1.5114367133e-42
500.0	grainOCN	3.1815475535e-34
500.0	grainSiCH2	0.0000000000e+00
500.0	grainSiN	0.0000000000e+00
500.0	grainC3H7	0.0000000000e+00
500.0	grainHNCO	2.2786884044e-35
500.0	grainHNSi	0.0000000000e+00
500.0	grainSiCH3	0.0000000000e+00
500.0	grainC3H8	0.0000000000e+00
500.0	grainCH3CHO	4.3240036683e-19
500.0	grainCO2	1.1328559456e-13
500.0	grainCS	2.4755657969e-29
500.0	grainN2O	0.0000000000e+00
500.0	grainSiO	0.0000000000e+00
500.0	grainHCS	0.0000000000e+00
500.0	grainNH2CHO	0.0000000000e+00
500.0	grainNHNO	0.0000000000e+00
500.0	grainC2H5OH	6.5182848333e-24
500.0	grainCH3OCH3	3.1589842291e-30
500.0	grainH2CS	0.0000000000e+00
500.0	grainH2SiO	0.0000000000e+00
500.0	grainHCOOH	1.7280275511e-15
500.0	grainNH2NO	0.0000000000e+00
500.0	grainNO2	9.0578426870e-34
500.0	grainNS	0.0000000000e+00
500.0	grainCCl	0.0000000000e+00
500.0	grainC4	7.6238280671e-20
500.0	grainO3	0.0000000000e+00
500.0	grainSO	1.9534928271e-31
500.0	grainC4H	2.8548647633e-19
500.0	grainC3N	2.0391766985e-30
500.0	grainC4H2	0.0000000000e+00
500.0	grainC4H3	3.1038337768e-19
500.0	grainClO	0.0000000000e+00
500.0	grainHC2NC	0.0000000000e+00
500.0	grainHC3N	2.9256860577e-29
500.0	grainHCNC2	0.0000000000e+00
500.0	grainHNC3	7.6890172959e-30
500.0	grainC3O	2.6073754642e-14
500.0	grainC4H4	0.0000000000e+00
500.0	grainCH2CCN	0.0000000000e+00
500.0	grainNCCN	6.8340484749e-34
500.0	grainSiC2	0.0000000000e+00
500.0	grainC4H5	0.0000000000e+00
500.0	grainCH2CHCN	1.7860509005e-38
500.0	grainHC3O	0.0000000000e+00
500.0	grainSiC2H	0.0000000000e+00
500.0	grainC4H6	0.0000000000e+00
500.0	grainH2C3O	0.0000000000e+00
500.0	grainH4C3N	0.0000000000e+00
500.0	grainSiC2H2	0.0000000000e+00
500.0	grainSiNC	0.0000000000e+00
500.0	grainH5C3N	0.0000000000e+00
500.0	grainC2S	2.3892022040e-29
500.0	grainFe	0.0000000000e+00
500.0	grainFeH	0.0000000000e+00
500.0	grainC5	2.0171214296e-20
500.0	grainHCOOCH3	6.6481142277e-31
500.0	grainOCS	1.7417312581e-31
500.0	grainSiO2	0.0000000000e+00
500.0	grainSiS	0.0000000000e+00
500.0	grainC5H	2.6897989878e-21
500.0	grainC4N	7.6451225190e-34
500.0	grainC5H2	3.4819349409e-20
500.0	grainC5H3	0.0000000000e+00
500.0	grainCH3C4H	3.7159972000e-20
500.0	grainS2	0.0000000000e+00
500.0	grainSO2	8.2284023786e-36
500.0	grainCH3C3N	1.9031580784e-29
500.0	grainHS2	0.0000000000e+00
500.0	grainSiC3H	0.0000000000e+00
500.0	grainH2S2	0.0000000000e+00
500.0	grainC3S	2.8301909481e-39
500.0	grainC6	2.0336533926e-20
500.0	grainC6H	8.5634363516e-23
500.0	grainC5N	9.3782686386e-32
500.0	grainC6H2	2.8819821865e-23
500.0	grainC6H3	0.0000000000e+00
500.0	grainHC5N	1.7424951535e-31
500.0	grainC6H4	0.0000000000e+00
500.0	grainH2C5N	0.0000000000e+00
500.0	grainSiC4	0.0000000000e+00
500.0	grainH3C5N	0.0000000000e+00
500.0	grainC6H6	1.4962806639e-23
500.0	grainC4S	0.0000000000e+00
500.0	grainC7	1.1154276242e-20
500.0	grainC7H	2.7171756372e-22
500.0	grainC7H2	8.0022552591e-25
500.0	grainC7H3	0.0000000000e+00
500.0	grainC7H4	0.0000000000e+00
500.0	grainCH3C6H	1.1552758429e-23
500.0	grainCH3C5N	6.3288582178e-41
500.0	grainC8	1.2053005200e-25
500.0	grainC8H	3.4085828349e-23
500.0	grainC7N	3.9293558017e-41
500.0	grainC8H2	7.2522822051e-26
500.0	grainC8H3	0.0000000000e+00
500.0	grainHC7N	1.3642849597e-41
500.0	grainC8H4	0.0000000000e+00
500.0	grainH2C7N	0.0000000000e+00
500.0	grainH3C7N	0.0000000000e+00
500.0	grainC9	4.2046440518e-21
500.0	grainC9H	7.8205003863e-23
500.0	grainC9H2	2.6040732201e-25
500.0	grainC9H3	0.0000000000e+00
500.0	grainC9H4	0.0000000000e+00
500.0	grainCH3C7N	0.0000000000e+00
500.0	grainC10	4.0738070912e-29
500.0	grainC9N	1.0400887326e-41
500.0	grainHC9N	0.0000000000e+00
500.0	grainH2C9N	0.0000000000e+00
500.0	grainH3C9N	0.0000000000e+00
500.0	grain	2.5041775559e-13
1000.0	grainH	1.3927679153e-18
1000.0	grainH(-)	8.1059679293e-24
1000.0	grainH2	6.6900187102e-11
1000.0	grainHe	9.3257250582e-18
1000.0	grainC	1.1767243851e-18
1000.0	grainCH	2.8369003965e-17
1000.0	grainC(-)	1.4761220655e-30
1000.0	grainCH2	9.7502465391e-14
1000.0	grainCH3	6.2311056711e-12
1000.0	grainN	8.3143323406e-33
1000.0	grainNH	1.7629929703e-30
1000.0	grainCH4	3.7504638176e-09
1000.0	grainNH2	3.9164097174e-29
1000.0	grainNH3	1.6652735977e-29
1000.0	grainO	4.4807891287e-12
1000.0	grainOH	1.4653358249e-11
1000.0	grainO(-)	1.9812605118e-28
1000.0	grainH2O	3.9066913100e-06
1000.0	grainOH(-)	4.8208721759e-15
1000.0	grainNa	0.0000000000e+00
1000.0	grainC2	9.3789697000e-15
1000.0	grainMg	0.0000000000e+00
1000.0	grainNaH	0.0000000000e+00
1000.0	grainC2H	1.7625382199e-13
1000.0	grainMgH	0.0000000000e+00
1000.0	grainC2H2	2.5315149792e-13
1000.0	grainCN	5.8400655771e-29
1000.0	grainCN(-)	6.5224345610e-36
1000.0	grainMgH2	0.0000000000e+00
1000.0	grainC2H3	9.7610457036e-15
1000.0	grainHCN	5.8208705210e-28
1000.0	grainHNC	3.3954148467e-30
1000.0	grainC2H4	1.8567931007e-14
1000.0	grainCHNH	0.0000000000e+00
1000.0	grainCNH2	0.0000000000e+00
1000.0	grainCO	8.3639318191e-08
1000.0	grainH2CN	8.2054501033e-34
1000.0	grainN2	0.0000000000e+00
1000.0	grainSi	0.0000000000e+00
1000.0	grainC2H5	6.0265344249e-17
1000.0	grainCH2NH	1.7367152988e-33
1000.0	grainCH3N	0.0000000000e+00
1000.0	grainCHNH2	0.0000000000e+00
1000.0	grainHCO	8.9172540409e-12
1000.0	grainHOC	0.0000000000e+00
1000.0	grainN2H	0.0000000000e+00
1000.0	grainSiH	0.0000000000e+00
1000.0	grainC2H6	0.0000000000e+00
1000.0	grainCH2NH2	0.0000000000e+00
1000.0	grainCH3NH	0.0000000000e+00
1000.0	grainCHOH	0.0000000000e+00
1000.0	grainH2CO	3.9039641425e-12
1000.0	grainHOCH	0.0000000000e+00
1000.0	grainN2H2	0.0000000000e+00
