Time [yr]	Species	Pebble Abundance [cm-2]
5000.0	grainC9H	4.7157693844e-24
5000.0	grainC9H2	1.3062895277e-23
5000.0	grainC9H3	0.0000000000e+00
5000.0	grainC9H4	0.0000000000e+00
5000.0	grainCH3C7N	0.0000000000e+00
5000.0	grainC10	6.6290593116e-29
5000.0	grainC9N	2.7693738174e-35
5000.0	grainHC9N	3.7406087782e-37
5000.0	grainH2C9N	0.0000000000e+00
5000.0	grainH3C9N	0.0000000000e+00
5000.0	grain	4.2873394849e-13
10000.0	grainH	5.0016358996e-18
10000.0	grainH(-)	1.0426520674e-23
10000.0	grainH2	1.0953697711e-10
10000.0	grainHe	1.5489458020e-17
10000.0	grainC	1.9915057280e-18
10000.0	grainCH	2.5030054645e-17
10000.0	grainC(-)	2.6791594284e-30
10000.0	grainCH2	1.6596360348e-14
10000.0	grainCH3	2.5982945788e-12
10000.0	grainN	1.7153058327e-30
10000.0	grainNH	7.9238129192e-30
10000.0	grainCH4	8.2043635652e-08
10000.0	grainNH2	5.8809927478e-29
10000.0	grainNH3	5.5165723876e-27
10000.0	grainO	5.8288868626e-11
10000.0	grainOH	2.2270177109e-10
10000.0	grainO(-)	1.4901427197e-27
10000.0	grainH2O	6.5547915471e-06
10000.0	grainOH(-)	3.0914061379e-13
10000.0	grainNa	0.0000000000e+00
10000.0	grainC2	1.6252076774e-12
10000.0	grainMg	0.0000000000e+00
10000.0	grainNaH	0.0000000000e+00
10000.0	grainC2H	5.4943650576e-11
10000.0	grainMgH	0.0000000000e+00
10000.0	grainC2H2	1.5109258929e-10
10000.0	grainCN	8.0919669988e-29
10000.0	grainCN(-)	2.7529638690e-34
10000.0	grainMgH2	0.0000000000e+00
10000.0	grainC2H3	8.0133396929e-12
10000.0	grainHCN	1.0210100558e-26
10000.0	grainHNC	4.2194212269e-28
10000.0	grainC2H4	5.1382289416e-11
10000.0	grainCHNH	0.0000000000e+00
10000.0	grainCNH2	0.0000000000e+00
10000.0	grainCO	1.3450172050e-07
10000.0	grainH2CN	1.6123031667e-32
10000.0	grainN2	0.0000000000e+00
10000.0	grainSi	1.3405030176e-27
10000.0	grainC2H5	5.2755016920e-13
10000.0	grainCH2NH	1.0063900434e-34
10000.0	grainCH3N	0.0000000000e+00
10000.0	grainCHNH2	0.0000000000e+00
10000.0	grainHCO	1.0521412316e-10
10000.0	grainHOC	0.0000000000e+00
10000.0	grainN2H	0.0000000000e+00
10000.0	grainSiH	6.9657062142e-29
10000.0	grainC2H6	0.0000000000e+00
10000.0	grainCH2NH2	0.0000000000e+00
10000.0	grainCH3NH	0.0000000000e+00
10000.0	grainCHOH	0.0000000000e+00
10000.0	grainH2CO	2.2403733705e-10
10000.0	grainHOCH	0.0000000000e+00
10000.0	grainN2H2	0.0000000000e+00
10000.0	grainNO	1.9485276138e-27
10000.0	grainSiH2	6.1163339976e-27
10000.0	grainCH2OH	0.0000000000e+00
10000.0	grainCH3O	0.0000000000e+00
10000.0	grainCH5N	0.0000000000e+00
10000.0	grainHNO	1.1312643133e-28
10000.0	grainHON	0.0000000000e+00
